Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"Population ages 15-64, total",SP.POP.1564.TO,Low & middle income,LMY,4338062124
"Population ages 15-64, total",SP.POP.1564.TO,Low income,LIC,387309499
"Population ages 15-64, total",SP.POP.1564.TO,Lower middle income,LMC,2052432446
"Population ages 15-64, total",SP.POP.1564.TO,Middle East & North Africa,MEA,319411752
"Population ages 15-64, total",SP.POP.1564.TO,Middle East & North Africa (excluding high income),MNA,269824334
"Population ages 15-64, total",SP.POP.1564.TO,Middle East & North Africa (IDA & IBRD countries),TMN,266914271
"Population ages 15-64, total",SP.POP.1564.TO,Middle income,MIC,3950752625
"Population ages 15-64, total",SP.POP.1564.TO,North America,NAC,241842028
"Population ages 15-64, total",SP.POP.1564.TO,Not classified,INX,..
"Population ages 15-64, total",SP.POP.1564.TO,OECD members,OED,891864638
"Population ages 15-64, total",SP.POP.1564.TO,Other small states,OSS,21357540
"Population ages 15-64, total",SP.POP.1564.TO,Pacific island small states,PSS,1606016
"Population ages 15-64, total",SP.POP.1564.TO,Post-demographic dividend,PST,713415815
"Population ages 15-64, total",SP.POP.1564.TO,Pre-demographic dividend,PRE,561889077
"Population ages 15-64, total",SP.POP.1564.TO,Small states,SST,28209882
"Population ages 15-64, total",SP.POP.1564.TO,South Asia,SAS,1274479444
"Population ages 15-64, total",SP.POP.1564.TO,South Asia (IDA & IBRD),TSA,1274479444
"Population ages 15-64, total",SP.POP.1564.TO,Sub-Saharan Africa,SSF,667786361
"Population ages 15-64, total",SP.POP.1564.TO,Sub-Saharan Africa (excluding high income),SSA,667703950
"Population ages 15-64, total",SP.POP.1564.TO,Sub-Saharan Africa (IDA & IBRD countries),TSS,667786361
"Population ages 15-64, total",SP.POP.1564.TO,Upper middle income,UMC,1898320179
"Population ages 15-64, total",SP.POP.1564.TO,World,WLD,5161478750
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 02/21/2024,,,,
