,funder_name,funder_round_type,funder_round_name,project_name_mapping,funding_usd
74,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ApeWorX,347827.48
75,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Synpress,347827.48
76,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Solady,347827.48
77,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Wallet-Abstraction -- ETHGlobal NY 2023,347827.48
78,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Blobscan,347827.48
79,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Blocknative,347827.48
80,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Zora,347827.48
81,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Yearn,347827.48
82,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Waffle,347827.48
83,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Ipsilon,347827.48
84,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Velodrome,347827.48
85,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Candide Labs,347827.48
86,Optimism Foundation,Retroactive Funding Round,RetroPGF3,RACE by Secureum,347827.48
87,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Fe,347827.48
88,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Synthetix,347827.48
89,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Jolly Roger and Hardhat-deploy,347827.48
90,Optimism Foundation,Retroactive Funding Round,RetroPGF2,geth,345885.0
91,Optimism Foundation,Retroactive Funding Round,RetroPGF2,ETHGlobal,345009.0
92,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Aestus Relay,340530.08499999996
93,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Pairwise,336730.065
94,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Buidl Guidl,336261.0
95,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Hypercerts,330436.12
96,Optimism Foundation,Retroactive Funding Round,RetroPGF3,WhatsABI,330436.12
97,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Solidity,326074.5
98,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Prettier Solidity,324296.98
99,Optimism Foundation,Retroactive Funding Round,RetroPGF3,0xSplits,322587.405
100,Optimism Foundation,Retroactive Funding Round,RetroPGF2,ethers.js,313711.5
101,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Smol Dapp,313044.76
102,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Zero Knowledge Podcast,313044.76
103,Optimism Foundation,Retroactive Funding Round,RetroPGF2,0xPARC,309081.0
104,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Galxe,298595.99
105,Optimism Foundation,Retroactive Funding Round,RetroPGF3,"Blockchain Developer, Smart Contract, & Solidity Course - Powered By AI - Beginner to Expert Course",295653.365
106,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Keccak hashing,286957.685
107,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Sonne Finance,286957.685
108,Optimism Foundation,Retroactive Funding Round,RetroPGF3,EthStaker,286957.685
109,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Hats Protocol,278262.005
110,Optimism Foundation,Retroactive Funding Round,RetroPGF3,LexDAO,278262.005
111,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Holograph,278262.005
112,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Lattice,275022.0
113,Optimism Foundation,Retroactive Funding Round,RetroPGF2,OpenZeppelin,272647.5
114,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Alloy,271305.44
115,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Tenderly,267559.355
116,Optimism Foundation,Retroactive Funding Round,RetroPGF3,growthepie,267559.355
117,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Gelato,267559.355
118,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Eco Association,267559.355
119,Optimism Foundation,Retroactive Funding Round,RetroPGF3,EthHub,267559.355
120,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Autonomous World Labs (AW Labs),267559.355
121,Optimism Foundation,Retroactive Funding Round,RetroPGF3,DappRadar,267559.355
122,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Endaoment,267559.355
123,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Socket,267559.355
124,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Rainbow,267559.355
125,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Boost Studios,267559.355
126,Optimism Foundation,Retroactive Funding Round,RetroPGF3,EthereumPhone,267559.355
127,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Chainlist,267559.355
128,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Pyth Network,260870.61000000002
129,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Umbra,260870.61000000002
130,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Crust Network,260870.61000000002
131,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Forum,260870.61000000002
132,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ITU Blockchain,260870.61000000002
133,Optimism Foundation,Retroactive Funding Round,RetroPGF3,JiffyScan,260870.61000000002
134,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Alchemy,260870.61000000002
135,Optimism Foundation,Retroactive Funding Round,RetroPGF3,roll-op,260870.61000000002
136,Optimism Foundation,Retroactive Funding Round,RetroPGF3,BrightID,260870.61000000002
137,Optimism Foundation,Retroactive Funding Round,RetroPGF3,The Red Guild,260870.61000000002
138,Optimism Foundation,Retroactive Funding Round,RetroPGF3,NiceNode,260870.61000000002
139,Optimism Foundation,Retroactive Funding Round,RetroPGF2,DefiLlama,256939.5
140,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Concrete,256383.88999999998
141,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Impersonator,253788.85000000003
142,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Lighthouse by Sigma Prime,248190.0
143,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Commons Stack,243479.25
144,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Karma,243479.25
145,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Edge & Node / The Graph,234783.57
146,Optimism Foundation,Retroactive Funding Round,RetroPGF2,wagmi,234694.5
147,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Hardhat Tracer,231508.76
148,Gitcoin Grants,Quadratic Funding Matching Pool,GR12,Electronic Frontier Foundation,230769.88
149,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Scry Protocol,229550.51
150,Optimism Foundation,Retroactive Funding Round,RetroPGF3,BwareLabs,229550.51
151,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Remix Project,227514.0
152,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Gitcoin,227241.0
153,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Holonym,226087.85499999998
154,Optimism Foundation,Retroactive Funding Round,RetroPGF3,blst by Supranational,226087.85499999998
155,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Foundry,223009.5
156,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Hildr,219131.32499999998
157,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Snapshot,218548.5
158,Optimism Foundation,Retroactive Funding Round,RetroPGF2,rotki,217909.5
159,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Upnode,217392.17500000002
160,Optimism Foundation,Retroactive Funding Round,RetroPGF3,State Channels,217392.17500000002
161,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Pocket Network (Grove),216199.13
162,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Erigon,212475.0
163,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Unlock Protocol,212159.115
164,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Seamless Protocol,208696.495
165,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ShapeShift DAO,208696.495
166,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Token Engineering Commons,208696.495
167,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Week in Ethereum News,208696.495
168,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Project Squallet from Lore,208696.495
169,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Praise,208696.495
170,Optimism Foundation,Retroactive Funding Round,RetroPGF3,abi-to-sol,203463.435
171,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Nethermind,203436.0
172,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Vyper,202839.0
173,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Wonderland,200263.42
174,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Index Supply,200000.815
175,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Decent,198230.375
176,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Kernel,198052.5
177,Optimism Foundation,Retroactive Funding Round,RetroPGF3,LlamaFolio,196134.715
178,Optimism Foundation,Retroactive Funding Round,RetroPGF2,CryptoZombies,195867.0
179,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Giveth,194721.0
180,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Hedgey Finance,194007.72999999998
181,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Ultra Sound Money,191305.135
182,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Moonwell,191305.135
183,Gitcoin Grants,Quadratic Funding Matching Pool,GR12,The Tor Project,186209.02
184,Optimism Foundation,Retroactive Funding Round,RetroPGF3,RadicalxChange Foundation,184645.965
185,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Arbiter,182609.42
186,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Week in Ethereum News,182550.0
187,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Safe,179376.0
188,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Attestation Station Interface,176616.37
189,Optimism Foundation,Retroactive Funding Round,RetroPGF3,KZG-Marble-machine by Xofee,175266.80500000002
190,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ChainPatrol,173913.74
191,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Ethernal,173913.74
192,Optimism Foundation,Retroactive Funding Round,RetroPGF3,TurboETH,173913.74
193,Optimism Foundation,Retroactive Funding Round,RetroPGF3,LearnWeb3,173913.74
194,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ETHBarcelona,173913.74
195,Optimism Foundation,Retroactive Funding Round,RetroPGF3,EZKL,173913.74
196,Optimism Foundation,Retroactive Funding Round,RetroPGF3,useWeb3,173913.74
197,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Hop Protocol,173913.74
198,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Farcaster Indexer,173913.74
199,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Shipyard Software,173913.74
200,Optimism Foundation,Retroactive Funding Round,RetroPGF3,IDriss,173913.74
201,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Gaslite Drop by Gaslite,173913.74
202,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Grateful,173913.74
203,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Flipside Crypto,173913.74
204,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Wallet Guard,173913.74
205,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Token Engineering Community,173913.74
206,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Delegate,173913.74
207,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Chronicle Labs (formerly Maker Oracle team),173913.74
208,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Crate Crypto,173913.74
209,Optimism Foundation,Retroactive Funding Round,RetroPGF3,go-ethereum-hdwallet,173913.74
210,Optimism Foundation,Retroactive Funding Round,RetroPGF3,RadarDAO,173913.74
211,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Public Assembly,173913.74
212,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Bonding Curves Research Group,173913.74
213,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Boardroom,173913.74
214,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Covalent,173913.74
215,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Ponder,173913.74
216,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Node Guardians,173913.74
217,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Snekmate,173913.74
218,Optimism Foundation,Retroactive Funding Round,RetroPGF3,WTF Academy,173913.74
219,Optimism Foundation,Retroactive Funding Round,RetroPGF3,anotherblock,173913.74
220,Optimism Foundation,Retroactive Funding Round,RetroPGF3,alembic.tech,173913.74
221,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Spearbit Labs,173913.74
222,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Sphinx (formerly ChugSplash),173913.74
223,Optimism Foundation,Retroactive Funding Round,RetroPGF3,cryo,173913.74
224,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Optinames & OptimismResolver,173913.74
225,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Builder Protocol (Nouns),173913.74
226,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Clique,173913.74
227,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Public HAUS,172191.985
228,Gitcoin Grants,Quadratic Funding Community Donations,GR12,ZigZag Exchange,167477.35
229,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Cannon-rs,166957.21
230,Optimism Foundation,Retroactive Funding Round,RetroPGF3,OPdelegate.com ,166957.21
231,Gitcoin Grants,Quadratic Funding Community Donations,GG18,Mummy Finance,165254.6357761
232,Optimism Foundation,Retroactive Funding Round,RetroPGF3,EtherScore,161781.515
233,Optimism Foundation,Retroactive Funding Round,RetroPGF3,LimeChain,161292.81
234,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Beacon Chain,158755.5
235,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Gashawk,156522.38
236,Optimism Foundation,Retroactive Funding Round,RetroPGF3,RetroPGF-Hub,156522.38
237,Optimism Foundation,Retroactive Funding Round,RetroPGF3,ScopeLift,156522.38
238,Optimism Foundation,Retroactive Funding Round,RetroPGF3,OpenOcean,156522.38
239,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Agora,152988.0
