section	count	count per 10k chars
0-0	1	31
0-1	10	45
0-2	10	37
0-3	2	65
1	21	101
2-0	325	37
2-1	171	56
2-2	158	37
3-0	53	62
3-1	148	44
3-2	131	36
3-3	180	34
4-0	148	45
4-1	246	45
4-2	137	32
4-3	127	31
4-4	160	31
4-5	80	56
5-0	104	27
5-1	58	27
5-2	81	30
5-3	155	61
5-4	154	42
5-5	169	65
5-6	114	49
5-7	228	62
6-0	106	41
6-1	132	41
6-2	138	40
6-3	111	53
6-4	75	64
7-0	284	47
7-1	105	56
8	21	119
